Alpes du Nord,Alpes du Sud,Jura,Massif Central,Pyrénées,Vosges,bon,débutant,intermediaire,inferieur à 1000,entre 1000 et 1500,entre 1500 et 2000,entre 2000 et 2500,supérieur à 2000,Entre 187 et 109 pistes,Entre 98 et 50 pistes,Entre 49 et 30 pistes,Entre 29 et 15 pistes,Entre 14 et 1 pistes,inferieur à 30 km ,entre 30 km et 100 km,entre 100 et 200 km,superieur à 200 km,inferieur à 10 (forfait),entre 10 et 20 (forfait),entre 20 et 30 (forfait),entre 30 et 40 (forfait),entre 40 et 50 (forfait),superieur à 50 (fortfait),inferieur a 10 km (fond),entre 10 et 20 km (fond),entre 20 et 30 (fond),entre 30 et 50 (fond),entre 50 et 100 km (fond),superieur a 100 km (fond),domaine  pas connecte,domaine connecte
Abondance,Abriès en Queyras,Espace Alpin Bellefontaine,Alti Aigoual,Artouste,Bussang – Larcenaire,Alpe d'Huez,Abondance,Albiez Montrond,Brides les Bains,Sixt Fer à Cheval,Bernex,Saint François Longchamp,Tignes,Station de ski,Notre Dame de Bellecombe,Les Agudes,Gavarnie Gèdre,Arvieux en Queyras,Le Grand Valtin,La Grave la Meije,Les Orres,Peisey Vallandry,Le Grand Valtin,Bessans,Puyvalador,Ristolas en Queyras,La Clusaz,La Grave la Meije,Montmin - Col de la Forclaz,La Bresse Brabant,Aiguilles en Queyras,L'Audibergue - La Moulière,Les Coulmes,La Bresse Lispach,Montmin - Col de la Forclaz,Ristolas en Queyras
Aillons Margeriaz,Aiguilles en Queyras,La Combe Saint Pierre,Besse Super Besse,Ascou Pailhères,Gaschney 360,Chamonix,Autrans,Alpe du Grand Serre,Xonrupt – Le Poli,Les Egaux,Gresse en Vercors,Abriès en Queyras,Val d'Isère,Megève,Samoëns,Peyresourde,Luz Ardiden,Villard Reculas,Ristolas en Queyras,Bramans,Orcières Merlette,Les Arcs,Etang de Lers,Le Granier,Alti Aigoual,Menthières,Font-Romeu – Bolquère – Pyrénées 2000,Serre Chevalier,Turini Camp d'Argent,Le Grand Puy,Gresse en Vercors,Les Habères,Les Estables – Mézenc,Le Champ du Feu,Turini Camp d'Argent,Auris en oisans
Albiez Montrond,Ancelle,La Source du Doubs – Mouthe,Brameloup,Ax 3 Domaines,Gérardmer,Combloux,Bellevaux - Hirmentaz,Areches Beaufort,Bussang – Larcenaire,Ventron,La Sambuy,Pra-Loup,Val Thorens,Flumet - St Nicolas la Chapelle,Les 2 Alpes,Montgenèvre,Montclar les 2 vallées,Alti Aigoual,La Schlucht,Réallon,Superdevoluy / La Joue du Loup,Tignes,Bramans,Val d’Azun,Le Markstein,Ceillac en Queyras,Les Angles,Les 2 Alpes,Le Reposoir,Valloire,Le Ballon d’Alsace,Gréolières les Neiges,Laguiole,La Bresse Hohneck,Le Reposoir,Villard Reculas
Alpe d'Huez,Arvieux en Queyras,Les Fourgs,Chalmazel,Barèges,La Bresse Brabant,Cordon,Bessans,Auris en oisans,Le Champ du Feu,La Bresse Lispach,Thollon les Memises,Superdevoluy / La Joue du Loup,Alpe d'Huez,Crest Voland Cohennoz,Valloire,Les Contamines Montjoie,La Pierre St Martin,Abondance,Bessans,Ancelle,Combloux,Megève,Montmin - Col de la Forclaz,Saint Jean de Sixt,Méaudre,Abriès en Queyras,Pra-Loup,Auris en oisans,Serre Eyraud,Les Agudes,Albiez Montrond,Gérardmer,Lans en Vercors,Les Fourgs,Serre Eyraud,Vaujany
Alpe du Grand Serre,Auron,Les Plans d’Hotonnes – Plateau de Retord,Chastreix Sancy,Beille,La Bresse Hohneck,Courchevel,Bonneval sur Arc,Aussois,Saint Maurice sur Moselle,La Source du Doubs – Mouthe,Le Lioran,Peyresourde,,Champagny en Vanoise,Valmeinier,Monts Jura,Manigod,Le Ballon d’Alsace,Le Désert d'Entremont,La Colmiane,La Giettaz,Saint Gervais Mont-Blanc,Les Coulmes,Val d'Allos,Autrans,Cambre d’Aze,Montgenèvre,Vaujany,Gaschney 360,Peyresourde,Alpe du Grand Serre,Les Karellis,Megève,Formiguères,Gaschney 360,Oz en oisans
Areches Beaufort,Beuil les Launes,Les Rousses,La Croix de Bauzon,Cambre d’Aze,La Bresse Lispach,La Plagne,Bramans,Avoriaz,La Bresse Brabant,La Planche des Belles Filles,Bramans,Les Agudes,,Montchavin - La Plagne,Val Thorens,Auron,Guzet,Le Champ du Feu,La Source du Doubs – Mouthe,Roubion - Les Buisses,Saint Lary Soulan,La Plagne,Nistos,Le Désert d'Entremont,Gresse en Vercors,Bonneval sur Arc,Les Contamines Montjoie,Alpe d'Huez,Ventoux - Mont Serein,Les Orres,Valmorel,Aussois,Praz de Lys Sommand,Corrençon en Vercors,Ventoux - Mont Serein,Luz Ardiden
Auris en oisans,Ceillac en Queyras,Menthières,La Loge des Gardes,Camurac,La Planche des Belles Filles,La Rosière 1850,Col de Marcieu,Bernex,Le Grand Valtin,Le Lac Blanc,Les Estables – Mézenc,Piau Engaly,,La Plagne,Orelle,Le Grand Bornand,Les Karellis,Sainte Anne la Condamine,La Loge des Gardes,Bernex,Les Gets,Montchavin - La Plagne,,Larche,Les Habères,Areches Beaufort,Val Cenis,Peisey Vallandry,Le Chazelet,Sixt Fer à Cheval,Roc d'Enfer - St Jean d'Aulps,Superdevoluy / La Joue du Loup,Alpe d'Huez,Villard de Lans,Le Chazelet,Auron
Aussois,Céüze,Métabief Mont d’Or,Laguiole,Cauterets,La Schlucht,La Tania,Col de Porte,Brides les Bains,Gérardmer,La Loge des Gardes,Le Mont Dore,Cambre d’Aze,,Les Arcs,Gréolières les Neiges,Les Angles,Albiez Montrond,Réallon,Xonrupt – Le Poli,Gréolières les Neiges,Isola 2000,Champagny en Vanoise,,Romme,Savoie Grand Revard,Le Grand Bornand,Valloire,Les Arcs,Céüze,Le Grand Valtin,Val d'Isère,Flaine,Le Collet d'Allevard,Font-Romeu – Bolquère – Pyrénées 2000,Céüze,Valberg
Autrans,Chabanon,Monts Jura,Le Bleymard – Mont Lozère,Etang de Lers,Le Ballon d’Alsace,Les 2 Alpes,Col de Rousset,Champagny en Vanoise,La Combe Saint Pierre,La Bresse Hohneck,Aiguilles en Queyras,Méribel,,Saint Gervais Mont-Blanc,Les Menuires,Chatel,Luchon Superbagnères,Chaillol,Montmin - Col de la Forclaz,Crest Voland Cohennoz,Les Contamines Montjoie,Les 2 Alpes,,Prabouré,La Sambuy,Pralognan la Vanoise,Valmeinier,La Plagne,Goulier,Xonrupt – Le Poli,La Loge des Gardes,Vaujany,Réallon,Prabouré,Goulier,Serre Chevalier
